Date,Open,High,Low,Close,Adj Close,Volume
2019-07-22,1.100000,1.130000,1.040000,1.050000,1.050000,483800
2019-07-23,1.060000,1.120000,1.060000,1.070000,1.070000,221000
2019-07-24,1.090000,1.110000,1.060000,1.070000,1.070000,217900
2019-07-25,1.090000,1.130000,1.060000,1.120000,1.120000,486100
2019-07-26,1.120000,1.140000,1.100000,1.120000,1.120000,425700
2019-07-29,1.110000,1.180000,1.110000,1.150000,1.150000,566800
2019-07-30,1.170000,1.220000,1.130000,1.180000,1.180000,399200
2019-07-31,1.190000,1.240000,1.160000,1.160000,1.160000,438800
2019-08-01,1.180000,1.340000,1.180000,1.310000,1.310000,956900
2019-08-02,1.310000,1.340000,1.240000,1.310000,1.310000,373300
2019-08-05,1.290000,1.290000,1.150000,1.190000,1.190000,363500
2019-08-06,1.190000,1.230000,1.070000,1.150000,1.150000,354300
2019-08-07,1.170000,1.190000,1.120000,1.140000,1.140000,200300
2019-08-08,1.210000,1.220000,1.080000,1.080000,1.080000,565500
2019-08-09,1.090000,1.120000,1.060000,1.060000,1.060000,508600
2019-08-12,1.070000,1.100000,1.030000,1.050000,1.050000,283700
2019-08-13,1.020000,1.100000,1.020000,1.080000,1.080000,280900
2019-08-14,1.060000,1.080000,1.000000,1.030000,1.030000,334700
2019-08-15,1.020000,1.030000,0.970000,0.970000,0.970000,550900
2019-08-16,0.980000,1.050000,0.980000,1.030000,1.030000,177500
2019-08-19,1.030000,1.080000,1.020000,1.050000,1.050000,181700
2019-08-20,1.030000,1.050000,1.020000,1.030000,1.030000,156400
2019-08-21,1.030000,1.040000,1.020000,1.040000,1.040000,120800
2019-08-22,1.030000,1.070000,1.020000,1.070000,1.070000,141300
2019-08-23,1.070000,1.070000,1.000000,1.030000,1.030000,204600
2019-08-26,1.020000,1.050000,0.990000,1.030000,1.030000,334000
2019-08-27,1.030000,1.030000,0.970000,0.970000,0.970000,266600
2019-08-28,0.960000,0.980000,0.940000,0.960000,0.960000,283400
2019-08-29,0.950000,0.980000,0.890000,0.890000,0.890000,526800
